,APIWellNumber,CountyCode,APIHoleNumber,Sidetrack,Completion,WellName,CompanyName,OperatorNumber,WellType,MapSymbol,WellStatus,StatusDate,PermitApplicationDate,PermitIssuedDate,DateSpudded,DateofTotalDepth,DateWellCompleted,DateWellPlugged,DateWellConfidentialityEnds,ConfidentialityCode,Town,Quad,QuadSection,ProducingField,ProducingFormation,FinancialSecurity,Slant,County,Region,StateLease,ProposedDepthft,SurfaceLongitude,SurfaceLatitude,BottomHoleLongitude,BottomHoleLatitude,TrueVerticalDepthft,MeasuredDepthft,Kickoffft,DrilledDepthft,Elevationft,OriginalWellType,PermitFee,ObjectiveFormation,DepthFee,Spacing,SpacingAcres,Integration,HearingDate,DateLastModified,DECDatabaseLink,Location1,WellTime,WellTime_Yr
515,31003066720000,3,6672,0,0,Alma Hill 27-78,Bradley Producing Corp.,101,OD,OWP,PA,05/09/1987,12/09/1968,12/11/1968,12/16/1968,01/07/1969,1969-01-14,1987-05-09,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1700.0,-78.02482999999998,42.03103,-78.02482999999998,42.03103,1669.0,1669.0,0.0,1669.0,2445.0,NL,0.0,,0.0,,,,,12/14/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003066720000,"(42.03103, -78.02483)",6689.0,18.326027397260273
537,31003053230000,3,5323,0,0,Sidehill 40,Ebenezer Oil Co. Inc.,24,OD,OWP,PA,07/13/1979,,,07/31/1967,08/28/1967,1967-08-28,1979-07-13,,Pre-1989 Well (N/A),Alma,Allentown,H,Richburg,Richburg,False,Vertical,Allegany,9.0,,0.0,-78.04504,42.04124,-78.04504,42.04124,1462.0,1462.0,0.0,1462.0,2205.0,NL,0.0,,0.0,,,,,12/14/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003053230000,"(42.04124, -78.04504)",4337.0,11.882191780821918
549,31003190740000,3,19074,0,0,Lot 43 3-43,Klein Oil & Logging,1775,OD,OWP,PA,06/29/2013,05/17/1984,05/25/1984,07/02/1984,07/05/1984,1984-07-10,2013-06-29,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1200.0,-78.01974,42.01756,-78.01974,42.01756,1104.0,1104.0,0.0,1104.0,1920.0,NL,475.0,,375.0,,,,,05/27/2016 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003190740000,"(42.01756, -78.01974)",10581.0,28.98904109589041
562,31003004700000,3,470,0,0,Downes Est 1,Sylvania Corp.,8,GD,GWP,PA,01/12/1938,,,10/02/1936,11/27/1936,1936-11-27,1938-01-12,,Pre-1989 Well (N/A),Alma,Wellsville South,G,State Line,Oriskany,False,Vertical,Allegany,9.0,,0.0,-77.97167,42.01066,-77.97167,42.01066,4651.0,4651.0,0.0,4651.0,1896.0,NL,0.0,Oriskany,0.0,,,,,03/19/1999 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003004700000,"(42.01066, -77.97167)",411.0,1.126027397260274
653,31003150210000,3,15021,0,0,Well-3,Boyd & Shriver,677,OD,OWP,PA,08/22/1985,12/28/1979,02/20/1980,08/09/1980,08/11/1980,1980-09-30,1985-08-22,,Pre-1989 Well (N/A),Bolivar,Bolivar,I,Richburg,Waugh & Porter,False,Vertical,Allegany,9.0,,1750.0,-78.13062999999998,42.03238,-78.13062999999998,42.03238,1788.0,1788.0,0.0,1788.0,2140.0,NL,0.0,,0.0,,,,,12/15/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003150210000,"(42.03238, -78.13063)",1787.0,4.895890410958904
710,31003108160000,3,10816,0,0,Nobles 1,Freeman Oil Co.,1260,OD,OWP,PA,10/02/1996,05/03/1974,07/25/1975,05/23/1975,06/25/1975,1975-06-26,1996-10-02,,Pre-1989 Well (N/A),Amity,Wellsville North,D,Scio,Scio,False,Vertical,Allegany,9.0,,562.0,-77.98197,42.19963,-77.98197,42.19963,553.0,553.0,0.0,553.0,1700.0,NL,0.0,Scio,0.0,,,,,10/11/1996 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003108160000,"(42.19963, -77.98197)",7769.0,21.284931506849315
762,31003050820000,3,5082,0,0,Lot 55 5055,K-Arcy Corp.,192,OD,OWP,PA,11/21/1985,01/31/1967,02/06/1967,03/02/1967,04/20/1967,1967-04-28,1985-11-21,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1700.0,-78.01358,42.02292,-78.01358,42.02292,1066.0,1066.0,0.0,1066.0,1840.0,NL,0.0,Richburg,0.0,,,,,05/31/1989 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003050820000,"(42.02292, -78.01358)",6782.0,18.58082191780822
764,31003003760000,3,376,0,0,"Knox, H 1",Sylvania Corp.,8,GD,GWP,PA,02/15/1938,,,12/06/1935,02/16/1936,1935-02-16,1938-02-15,,Pre-1989 Well (N/A),Alma,Wellsville South,H,State Line,Oriskany,False,Vertical,Allegany,9.0,,0.0,-77.9573,42.01423,-77.9573,42.01423,4623.0,4623.0,0.0,4623.0,1839.0,NL,0.0,Oriskany,0.0,,,,,01/24/2003 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003003760000,"(42.01423, -77.9573)",1095.0,3.0
787,31003110240000,3,11024,0,0,Forsythe 12,Plants and Goodwin Inc.,451,OD,OWP,PA,10/10/2002,08/09/1974,08/12/1974,08/12/1974,08/26/1974,1974-09-06,2002-10-10,,Pre-1989 Well (N/A),Independence,Whitesville,F,Beech Hill-Independence,Fulmer Valley,False,Vertical,Allegany,9.0,,1400.0,-77.76309,42.06894,-77.76309,42.06894,1272.0,1272.0,0.0,1272.0,2280.0,NL,0.0,,0.0,,,,,01/29/2003 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003110240000,"(42.06894, -77.76309)",10261.0,28.112328767123287
850,31003200580000,3,20058,0,0,Mix 1,Apex Resources Inc.,775,OD,OWP,PA,08/01/1993,07/08/1985,07/30/1985,08/27/1985,08/30/1985,1985-09-18,1993-08-01,,Pre-1989 Well (N/A),Bolivar,Bolivar,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,2000.0,-78.14058,42.01489,-78.14058,42.01489,1698.0,1698.0,0.0,1698.0,2038.0,NL,600.0,,500.0,,,,,01/16/2003 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003200580000,"(42.01489, -78.14058)",2874.0,7.873972602739726
852,31003162270000,3,16227,0,0,Allegany BOCES 1,Cat/Al/Er/Wy BOCES,934,GD,GWP,PA,01/12/1993,05/15/1981,06/04/1981,06/09/1981,07/02/1981,1991-08-15,1993-01-12,,Pre-1989 Well (N/A),Amity,Belmont,C,Belmont,Marcellus,False,Vertical,Allegany,9.0,,3439.0,-78.03995,42.24171,-78.03995,42.24171,3350.0,3350.0,0.0,3350.0,1369.0,NL,0.0,Onondaga,0.0,,,,,01/16/2003 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003162270000,"(42.24171, -78.03995)",516.0,1.4136986301369863
878,31003153090000,3,15309,0,0,Bradley w-6,Boyd & Shriver,677,OD,OWP,PA,08/01/1985,12/28/1979,02/20/1980,08/01/1980,08/04/1980,1980-08-09,1985-08-01,,Pre-1989 Well (N/A),Bolivar,Bolivar,I,Richburg,Waugh & Porter,False,Vertical,Allegany,9.0,,1750.0,-78.12989,42.03128,-78.12989,42.03128,1813.0,1813.0,0.0,1813.0,2255.0,NL,0.0,,0.0,,,,,12/15/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003153090000,"(42.03128, -78.12989)",1818.0,4.980821917808219
899,31003107770000,3,10777,0,0,41-54 Lot 54,K-Arcy Corp.,192,OD,OWP,PA,04/19/1988,05/06/1973,05/07/1973,05/16/1974,06/05/1974,1974-06-17,1988-04-19,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1200.0,-78.01981,42.02226,-78.01981,42.02226,1198.0,1198.0,0.0,1198.0,2020.0,NL,0.0,,0.0,,,,,12/14/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003107770000,"(42.02226, -78.01981)",5055.0,13.849315068493151
944,31003185980000,3,18598,0,0,Jordan 1,Jordan Cyril E,1095,DH,DP,PA,08/11/1986,09/20/1983,10/07/1983,10/14/1983,10/27/1983,1983-12-08,1986-08-11,,Pre-1989 Well (N/A),Friendship,Friendship,E,,,False,Vertical,Allegany,9.0,,1200.0,-78.17712,42.20084,-78.17712,42.20084,1192.0,1192.0,0.0,1192.0,1618.0,NL,0.0,,0.0,,,,,04/16/1990 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003185980000,"(42.20084, -78.17712)",977.0,2.6767123287671235
945,31003055040000,3,5504,0,0,Bledsoe 41,The Richardson Petroleum Corporation,37,OD,OWP,PA,08/10/1998,04/10/1968,04/23/1968,04/18/1968,05/03/1968,1968-05-08,1998-08-10,,Pre-1989 Well (N/A),Independence,Whitesville,F,Beech Hill-Independence,Fulmer Valley,False,Vertical,Allegany,9.0,,0.0,-77.7641,42.07182,-77.7641,42.07182,1264.0,1264.0,0.0,1264.0,2250.0,NL,0.0,,0.0,,,,,10/08/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003055040000,"(42.07182, -77.7641)",11051.0,30.276712328767122
969,31003200910000,3,20091,0,0,Leete Lumber Co. 1,Plants and Goodwin Inc.,451,OD,OWP,PA,05/24/1994,08/07/1985,08/22/1985,09/24/1985,11/21/1985,1990-10-23,1994-05-24,,Pre-1989 Well (N/A),Genesee,Bolivar,H,Richburg,Richburg,False,Vertical,Allegany,9.0,,1350.0,-78.19808999999998,42.00488,-78.19808999999998,42.00488,1497.0,1497.0,0.0,1497.0,2000.0,NL,475.0,Richburg,375.0,,,,,01/10/1996 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003200910000,"(42.00488, -78.19809)",1309.0,3.5863013698630137
972,31003220020000,3,22002,0,0,Fee 1,Greene Oil Co.,1442,OD,OWP,PA,12/05/2003,10/17/1990,12/03/1990,12/05/1990,03/11/1991,1991-03-15,2003-12-05,06/05/1991,Released,Bolivar,Bolivar,C,Richburg,Richburg,False,Vertical,Allegany,9.0,,920.0,-78.15875,42.08656,-78.15875,42.08656,898.0,898.0,0.0,898.0,1640.0,NL,350.0,Richburg,250.0,,,,,01/05/2004 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003220020000,"(42.08656, -78.15875)",4648.0,12.734246575342466
1010,31003077810000,3,7781,0,0,Short 1,Short Frank D.,1801,GD,GWP,PA,04/14/1999,06/17/1970,06/18/1970,06/22/1970,08/05/1970,1970-08-05,1999-04-14,,Pre-1989 Well (N/A),Wellsville,Wellsville South,B,Trapping Brook,Waugh & Porter,False,Vertical,Allegany,9.0,,1500.0,-77.92192,42.09977,-77.92192,42.09977,1500.0,1500.0,0.0,1500.0,1500.0,NL,0.0,,0.0,,,,,01/16/2003 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003077810000,"(42.09977, -77.92192)",10479.0,28.70958904109589
1017,31003224910000,3,22491,0,0,"Lynch, C 1a",Otis Eastern Service Inc.,56,OD,OWP,PA,08/17/2011,06/07/1994,06/24/1994,07/06/1994,07/07/1994,1994-08-10,2011-08-17,01/06/1995,Released,Andover,Whitesville,B,Fulmer Valley,Fulmer Valley,False,Vertical,Allegany,9.0,,2000.0,-77.82128,42.11393,-77.82128,42.11393,2028.0,2028.0,0.0,2028.0,2140.0,NL,600.0,Fulmer Valley,500.0,,,,,09/21/2011 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003224910000,"(42.11393, -77.82128)",6216.0,17.03013698630137
1023,31003060510000,3,6051,0,0,Lot 92 8e,Day James W,1160,OD,OWP,PA,08/24/2000,08/19/1968,08/26/1968,08/19/1968,09/10/1968,1968-09-15,2000-08-24,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1700.0,-78.03261,42.03541,-78.03261,42.03541,1660.0,1660.0,0.0,1660.0,,NL,0.0,,0.0,,,,,09/11/2000 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003060510000,"(42.03541, -78.03261)",11666.0,31.96164383561644
1045,31003103760000,3,10376,0,0,10 Clark 30,The Richardson Petroleum Corporation,37,OD,OWP,PA,02/03/1990,,06/14/1974,06/15/1974,06/22/1974,1974-08-28,1990-02-03,,Pre-1989 Well (N/A),Independence,Whitesville,F,Beech Hill-Independence,Fulmer Valley,False,Vertical,Allegany,9.0,,1275.0,-77.75654,42.06883,-77.75654,42.06883,1260.0,1260.0,0.0,1260.0,2230.0,NL,0.0,,0.0,,,,,01/01/1900 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003103760000,"(42.06883, -77.75654)",5638.0,15.446575342465753
1047,31003159250000,3,15925,0,0,Bill Allen 22,Sturdevant Harley L.,1326,OD,OWP,PA,01/10/1989,02/18/1981,02/19/1981,03/01/1981,05/02/1981,1981-05-14,1989-01-10,,Pre-1989 Well (N/A),Scio,Allentown,B,Richburg,Richburg-Waugh & Porter,False,Vertical,Allegany,9.0,,1700.0,-78.04436,42.08732,-78.04436,42.08732,1697.0,1697.0,0.0,1697.0,,NL,0.0,Richburg,0.0,,,,,01/01/1900 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003159250000,"(42.08732, -78.04436)",2798.0,7.6657534246575345
1096,31003116950000,3,11695,0,0,6-78 Kt,K-Arcy Corp.,192,OD,OWP,PA,07/23/1987,,10/01/1975,11/01/1975,12/01/1975,1975-12-10,1987-07-23,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1600.0,-78.01779,42.02963,-78.01779,42.02963,1323.0,1323.0,0.0,1323.0,2200.0,NL,0.0,,0.0,,,,,01/03/1994 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003116950000,"(42.02963, -78.01779)",4243.0,11.624657534246575
1102,31003054620000,3,5462,0,0,Polly 20,Moose Oil Co.,160,OD,OWP,PA,12/12/2016,01/13/1968,01/18/1968,01/20/1968,12/20/1968,1968-12-21,2017-01-03,,Pre-1989 Well (N/A),Bolivar,Allentown,G,Richburg,Richburg,False,Vertical,Allegany,9.0,,1300.0,-78.11301799999998,42.024789,-78.11301799999998,42.024789,1218.0,1218.0,0.0,1218.0,1700.0,NL,0.0,Richburg,0.0,,,,,01/12/2017 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003054620000,"(42.024789, -78.113018)",17545.0,48.06849315068493
1145,31003190940000,3,19094,0,0,NYSRA 3-2,Eastern States Exploration Co.,1023,DW,DP,PA,07/05/1984,05/14/1984,06/04/1984,06/15/1984,06/25/1984,1984-06-29,1984-07-05,,Pre-1989 Well (N/A),Almond,Alfred,C,Alfred,Helderberg,False,Vertical,Allegany,9.0,ST,3950.0,-77.77028,42.3455,-77.77028,42.3455,4002.0,4002.0,0.0,4002.0,2050.0,NL,1100.0,Oriskany,1000.0,,,,,03/11/2008 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003190940000,"(42.3455, -77.77028)",6.0,0.01643835616438356
1290,31003108220000,3,10822,0,0,Nobles 7,Freeman Oil Co.,1260,OD,OWP,PA,09/12/1996,05/03/1974,07/25/1975,08/25/1975,09/02/1975,1975-09-05,1996-09-12,,Pre-1989 Well (N/A),Amity,Wellsville North,D,Scio,Scio,False,Vertical,Allegany,9.0,,887.0,-77.97873,42.20072,-77.97873,42.20072,951.0,951.0,0.0,951.0,2025.0,NL,0.0,Scio,0.0,,,,,10/11/1996 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003108220000,"(42.20072, -77.97873)",7678.0,21.035616438356165
1302,31003202690000,3,20269,0,0,Tullar-Fanton Lot 108 3,Otis Eastern Service Inc.,56,OD,OWP,PA,07/23/2015,05/27/1987,06/03/1987,02/19/1986,03/18/1986,1986-04-17,2015-07-23,,Pre-1989 Well (N/A),Wellsville,Whitesville,A,Fulmer Valley,Fulmer Valley,True,Vertical,Allegany,9.0,,1800.0,-77.85371,42.09138,-77.85371,42.09138,1500.0,1500.0,0.0,1500.0,1770.0,NL,600.0,Fulmer Valley,500.0,,,,,09/25/2015 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003202690000,"(42.09138, -77.85371)",10689.0,29.284931506849315
1313,31003057850000,3,5785,0,0,Lot 92-93 7e,Day James W,1160,OD,OWP,PA,08/22/2000,07/22/1968,07/24/1968,07/23/1968,08/09/1968,1968-08-15,2000-08-22,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1750.0,-78.03253999999998,42.03422,-78.03253999999998,42.03422,1732.0,1732.0,0.0,1732.0,,NL,0.0,,0.0,,,,,09/11/2000 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003057850000,"(42.03422, -78.03254)",11695.0,32.04109589041096
