,apiwellnumber,countycode,apiholenumber,sidetrack,completion,wellname,companyname,operatornumber,welltype,mapsymbol,wellstatus,statusdate,permitapplicationdate,permitissueddate,datespudded,dateoftotaldepth,datewellcompleted,datewellplugged,datewellconfidentialityends,confidentialitycode,town,quad,quadsection,producingfield,producingformation,financialsecurity,slant,county,region,statelease,proposeddepthft,surfacelongitude,surfacelatitude,bottomholelongitude,bottomholelatitude,trueverticaldepthft,measureddepthft,kickoffft,drilleddepthft,elevationft,originalwelltype,permitfee,objectiveformation,depthfee,spacing,spacingacres,integration,hearingdate,datelastmodified,decdatabaselink,location1,date_well_completed,date_well_plugged,well_time,well_time ,well_time_yr
402,31003136840000,3,13684,0,0,"Bently, G 20614tpi",Columbia Gas Transmission LLC,31,GW,GWP,PA,09/16/1981,09/18/1978,10/06/1978,11/29/1978,12/07/1978,01/24/1979,09/16/1981,,Pre-1989 Well (N/A),Granger,Birdsall,D,,Oriskany,False,Vertical,Allegany,9.0,,3000.0,-77.98480999999998,42.44087,-77.98480999999998,42.44087,3146.0,3146.0,0.0,3146.0,1820.0,NL,20.0,Oriskany,0.0,,,,,06/04/1989 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003136840000,"(42.44087, -77.98481)",1979-01-24,1981-09-16,966.0,966,2.6465753424657534
430,31003094610000,3,9461,0,0,3-53/68 Kv,Klein Oil & Logging,1775,OW,OWP,PA,04/19/2013,08/23/1972,08/29/1972,08/30/1972,10/18/1972,10/26/1972,04/19/2013,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1250.0,-78.03323,42.02397,-78.03323,42.02397,1271.0,1271.0,0.0,1271.0,,NL,0.0,,0.0,,,,,05/29/2013 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003094610000,"(42.02397, -78.03323)",1972-10-26,2013-04-19,14785.0,14785,40.50684931506849
459,31003518650000,3,51865,0,0,Warfield 132,B.C.R. Development Inc.,237,OD,OWP,PA,07/29/1978,,,05/26/1952,,06/24/1952,07/29/1978,,Pre-1989 Well (N/A),Alma,Wellsville South,D,Ford's Brook,,False,Vertical,Allegany,9.0,,0.0,-77.96210999999998,42.04943,-77.96210999999998,42.04943,980.0,980.0,0.0,980.0,,NL,0.0,,0.0,,,,,01/10/1994 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003518650000,"(42.04943, -77.96211)",1952-06-24,1978-07-29,9531.0,9531,26.112328767123287
483,31003055170000,3,5517,0,0,Neff 112,Ebenezer Oil Co. Inc.,24,OD,OWP,PA,06/14/1988,05/03/1968,05/09/1968,05/06/1968,05/31/1968,06/01/1968,06/14/1988,,Pre-1989 Well (N/A),Scio,Allentown,B,Richburg,Richburg,False,Vertical,Allegany,9.0,,1210.0,-78.0575,42.09547,-78.0575,42.09547,1193.0,1193.0,0.0,1193.0,1940.0,NL,0.0,,0.0,,,,,12/17/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003055170000,"(42.09547, -78.0575)",1968-06-01,1988-06-14,7318.0,7318,20.04931506849315
498,31003066720000,3,6672,0,0,Alma Hill 27-78,Bradley Producing Corp.,101,OD,OWP,PA,05/09/1987,12/09/1968,12/11/1968,12/16/1968,01/07/1969,01/14/1969,05/09/1987,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1700.0,-78.02482999999998,42.03103,-78.02482999999998,42.03103,1669.0,1669.0,0.0,1669.0,2445.0,NL,0.0,,0.0,,,,,12/14/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003066720000,"(42.03103, -78.02483)",1969-01-14,1987-05-09,6689.0,6689,18.326027397260273
521,31003053230000,3,5323,0,0,Sidehill 40,Ebenezer Oil Co. Inc.,24,OD,OWP,PA,07/13/1979,,,07/31/1967,08/28/1967,08/28/1967,07/13/1979,,Pre-1989 Well (N/A),Alma,Allentown,H,Richburg,Richburg,False,Vertical,Allegany,9.0,,0.0,-78.04504,42.04124,-78.04504,42.04124,1462.0,1462.0,0.0,1462.0,2205.0,NL,0.0,,0.0,,,,,12/14/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003053230000,"(42.04124, -78.04504)",1967-08-28,1979-07-13,4337.0,4337,11.882191780821918
533,31003190740000,3,19074,0,0,Lot 43 3-43,Klein Oil & Logging,1775,OD,OWP,PA,06/29/2013,05/17/1984,05/25/1984,07/02/1984,07/05/1984,07/10/1984,06/29/2013,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1200.0,-78.01974,42.01756,-78.01974,42.01756,1104.0,1104.0,0.0,1104.0,1920.0,NL,475.0,,375.0,,,,,05/27/2016 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003190740000,"(42.01756, -78.01974)",1984-07-10,2013-06-29,10581.0,10581,28.98904109589041
547,31003004700000,3,470,0,0,Downes Est 1,Sylvania Corp.,8,GD,GWP,PA,01/12/1938,,,10/02/1936,11/27/1936,11/27/1936,01/12/1938,,Pre-1989 Well (N/A),Alma,Wellsville South,G,State Line,Oriskany,False,Vertical,Allegany,9.0,,0.0,-77.97167,42.01066,-77.97167,42.01066,4651.0,4651.0,0.0,4651.0,1896.0,NL,0.0,Oriskany,0.0,,,,,03/19/1999 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003004700000,"(42.01066, -77.97167)",1936-11-27,1938-01-12,411.0,411,1.126027397260274
633,31003150210000,3,15021,0,0,Well-3,Boyd & Shriver,677,OD,OWP,PA,08/22/1985,12/28/1979,02/20/1980,08/09/1980,08/11/1980,09/30/1980,08/22/1985,,Pre-1989 Well (N/A),Bolivar,Bolivar,I,Richburg,Waugh & Porter,False,Vertical,Allegany,9.0,,1750.0,-78.13062999999998,42.03238,-78.13062999999998,42.03238,1788.0,1788.0,0.0,1788.0,2140.0,NL,0.0,,0.0,,,,,12/15/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003150210000,"(42.03238, -78.13063)",1980-09-30,1985-08-22,1787.0,1787,4.895890410958904
689,31003108160000,3,10816,0,0,Nobles 1,Freeman Oil Co.,1260,OD,OWP,PA,10/02/1996,05/03/1974,07/25/1975,05/23/1975,06/25/1975,06/26/1975,10/02/1996,,Pre-1989 Well (N/A),Amity,Wellsville North,D,Scio,Scio,False,Vertical,Allegany,9.0,,562.0,-77.98197,42.19963,-77.98197,42.19963,553.0,553.0,0.0,553.0,1700.0,NL,0.0,Scio,0.0,,,,,10/11/1996 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003108160000,"(42.19963, -77.98197)",1975-06-26,1996-10-02,7769.0,7769,21.284931506849315
743,31003050820000,3,5082,0,0,Lot 55 5055,K-Arcy Corp.,192,OD,OWP,PA,11/21/1985,01/31/1967,02/06/1967,03/02/1967,04/20/1967,04/28/1967,11/21/1985,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1700.0,-78.01358,42.02292,-78.01358,42.02292,1066.0,1066.0,0.0,1066.0,1840.0,NL,0.0,Richburg,0.0,,,,,05/31/1989 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003050820000,"(42.02292, -78.01358)",1967-04-28,1985-11-21,6782.0,6782,18.58082191780822
745,31003003760000,3,376,0,0,"Knox, H 1",Sylvania Corp.,8,GD,GWP,PA,02/15/1938,,,12/06/1935,02/16/1936,02/16/1935,02/15/1938,,Pre-1989 Well (N/A),Alma,Wellsville South,H,State Line,Oriskany,False,Vertical,Allegany,9.0,,0.0,-77.9573,42.01423,-77.9573,42.01423,4623.0,4623.0,0.0,4623.0,1839.0,NL,0.0,Oriskany,0.0,,,,,01/24/2003 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003003760000,"(42.01423, -77.9573)",1935-02-16,1938-02-15,1095.0,1095,3.0
768,31003110240000,3,11024,0,0,Forsythe 12,Plants and Goodwin Inc.,451,OD,OWP,PA,10/10/2002,08/09/1974,08/12/1974,08/12/1974,08/26/1974,09/06/1974,10/10/2002,,Pre-1989 Well (N/A),Independence,Whitesville,F,Beech Hill-Independence,Fulmer Valley,False,Vertical,Allegany,9.0,,1400.0,-77.76309,42.06894,-77.76309,42.06894,1272.0,1272.0,0.0,1272.0,2280.0,NL,0.0,,0.0,,,,,01/29/2003 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003110240000,"(42.06894, -77.76309)",1974-09-06,2002-10-10,10261.0,10261,28.112328767123287
833,31003200580000,3,20058,0,0,Mix 1,Apex Resources Inc.,775,OD,OWP,PA,08/01/1993,07/08/1985,07/30/1985,08/27/1985,08/30/1985,09/18/1985,08/01/1993,,Pre-1989 Well (N/A),Bolivar,Bolivar,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,2000.0,-78.14058,42.01489,-78.14058,42.01489,1698.0,1698.0,0.0,1698.0,2038.0,NL,600.0,,500.0,,,,,01/16/2003 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003200580000,"(42.01489, -78.14058)",1985-09-18,1993-08-01,2874.0,2874,7.873972602739726
835,31003162270000,3,16227,0,0,Allegany BOCES 1,Cat/Al/Er/Wy BOCES,934,GD,GWP,PA,01/12/1993,05/15/1981,06/04/1981,06/09/1981,07/02/1981,08/15/1991,01/12/1993,,Pre-1989 Well (N/A),Amity,Belmont,C,Belmont,Marcellus,False,Vertical,Allegany,9.0,,3439.0,-78.03995,42.24171,-78.03995,42.24171,3350.0,3350.0,0.0,3350.0,1369.0,NL,0.0,Onondaga,0.0,,,,,01/16/2003 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003162270000,"(42.24171, -78.03995)",1991-08-15,1993-01-12,516.0,516,1.4136986301369863
860,31003153090000,3,15309,0,0,Bradley w-6,Boyd & Shriver,677,OD,OWP,PA,08/01/1985,12/28/1979,02/20/1980,08/01/1980,08/04/1980,08/09/1980,08/01/1985,,Pre-1989 Well (N/A),Bolivar,Bolivar,I,Richburg,Waugh & Porter,False,Vertical,Allegany,9.0,,1750.0,-78.12989,42.03128,-78.12989,42.03128,1813.0,1813.0,0.0,1813.0,2255.0,NL,0.0,,0.0,,,,,12/15/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003153090000,"(42.03128, -78.12989)",1980-08-09,1985-08-01,1818.0,1818,4.980821917808219
881,31003107770000,3,10777,0,0,41-54 Lot 54,K-Arcy Corp.,192,OD,OWP,PA,04/19/1988,05/06/1973,05/07/1973,05/16/1974,06/05/1974,06/17/1974,04/19/1988,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1200.0,-78.01981,42.02226,-78.01981,42.02226,1198.0,1198.0,0.0,1198.0,2020.0,NL,0.0,,0.0,,,,,12/14/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003107770000,"(42.02226, -78.01981)",1974-06-17,1988-04-19,5055.0,5055,13.849315068493151
925,31003185980000,3,18598,0,0,Jordan 1,Jordan Cyril E,1095,DH,DP,PA,08/11/1986,09/20/1983,10/07/1983,10/14/1983,10/27/1983,12/08/1983,08/11/1986,,Pre-1989 Well (N/A),Friendship,Friendship,E,,,False,Vertical,Allegany,9.0,,1200.0,-78.17712,42.20084,-78.17712,42.20084,1192.0,1192.0,0.0,1192.0,1618.0,NL,0.0,,0.0,,,,,04/16/1990 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003185980000,"(42.20084, -78.17712)",1983-12-08,1986-08-11,977.0,977,2.6767123287671235
926,31003055040000,3,5504,0,0,Bledsoe 41,The Richardson Petroleum Corporation,37,OD,OWP,PA,08/10/1998,04/10/1968,04/23/1968,04/18/1968,05/03/1968,05/08/1968,08/10/1998,,Pre-1989 Well (N/A),Independence,Whitesville,F,Beech Hill-Independence,Fulmer Valley,False,Vertical,Allegany,9.0,,0.0,-77.7641,42.07182,-77.7641,42.07182,1264.0,1264.0,0.0,1264.0,2250.0,NL,0.0,,0.0,,,,,10/08/1998 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003055040000,"(42.07182, -77.7641)",1968-05-08,1998-08-10,11051.0,11051,30.276712328767122
950,31003200910000,3,20091,0,0,Leete Lumber Co. 1,Plants and Goodwin Inc.,451,OD,OWP,PA,05/24/1994,08/07/1985,08/22/1985,09/24/1985,11/21/1985,10/23/1990,05/24/1994,,Pre-1989 Well (N/A),Genesee,Bolivar,H,Richburg,Richburg,False,Vertical,Allegany,9.0,,1350.0,-78.19808999999998,42.00488,-78.19808999999998,42.00488,1497.0,1497.0,0.0,1497.0,2000.0,NL,475.0,Richburg,375.0,,,,,01/10/1996 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003200910000,"(42.00488, -78.19809)",1990-10-23,1994-05-24,1309.0,1309,3.5863013698630137
953,31003220020000,3,22002,0,0,Fee 1,Greene Oil Co.,1442,OD,OWP,PA,12/05/2003,10/17/1990,12/03/1990,12/05/1990,03/11/1991,03/15/1991,12/05/2003,06/05/1991,Released,Bolivar,Bolivar,C,Richburg,Richburg,False,Vertical,Allegany,9.0,,920.0,-78.15875,42.08656,-78.15875,42.08656,898.0,898.0,0.0,898.0,1640.0,NL,350.0,Richburg,250.0,,,,,01/05/2004 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003220020000,"(42.08656, -78.15875)",1991-03-15,2003-12-05,4648.0,4648,12.734246575342466
991,31003077810000,3,7781,0,0,Short 1,Short Frank D.,1801,GD,GWP,PA,04/14/1999,06/17/1970,06/18/1970,06/22/1970,08/05/1970,08/05/1970,04/14/1999,,Pre-1989 Well (N/A),Wellsville,Wellsville South,B,Trapping Brook,Waugh & Porter,False,Vertical,Allegany,9.0,,1500.0,-77.92192,42.09977,-77.92192,42.09977,1500.0,1500.0,0.0,1500.0,1500.0,NL,0.0,,0.0,,,,,01/16/2003 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003077810000,"(42.09977, -77.92192)",1970-08-05,1999-04-14,10479.0,10479,28.70958904109589
998,31003224910000,3,22491,0,0,"Lynch, C 1a",Otis Eastern Service Inc.,56,OD,OWP,PA,08/17/2011,06/07/1994,06/24/1994,07/06/1994,07/07/1994,08/10/1994,08/17/2011,01/06/1995,Released,Andover,Whitesville,B,Fulmer Valley,Fulmer Valley,False,Vertical,Allegany,9.0,,2000.0,-77.82128,42.11393,-77.82128,42.11393,2028.0,2028.0,0.0,2028.0,2140.0,NL,600.0,Fulmer Valley,500.0,,,,,09/21/2011 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003224910000,"(42.11393, -77.82128)",1994-08-10,2011-08-17,6216.0,6216,17.03013698630137
1004,31003060510000,3,6051,0,0,Lot 92 8e,Day James W,1160,OD,OWP,PA,08/24/2000,08/19/1968,08/26/1968,08/19/1968,09/10/1968,09/15/1968,08/24/2000,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1700.0,-78.03261,42.03541,-78.03261,42.03541,1660.0,1660.0,0.0,1660.0,,NL,0.0,,0.0,,,,,09/11/2000 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003060510000,"(42.03541, -78.03261)",1968-09-15,2000-08-24,11666.0,11666,31.96164383561644
1026,31003103760000,3,10376,0,0,10 Clark 30,The Richardson Petroleum Corporation,37,OD,OWP,PA,02/03/1990,,06/14/1974,06/15/1974,06/22/1974,08/28/1974,02/03/1990,,Pre-1989 Well (N/A),Independence,Whitesville,F,Beech Hill-Independence,Fulmer Valley,False,Vertical,Allegany,9.0,,1275.0,-77.75654,42.06883,-77.75654,42.06883,1260.0,1260.0,0.0,1260.0,2230.0,NL,0.0,,0.0,,,,,01/01/1900 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003103760000,"(42.06883, -77.75654)",1974-08-28,1990-02-03,5638.0,5638,15.446575342465753
1028,31003159250000,3,15925,0,0,Bill Allen 22,Sturdevant Harley L.,1326,OD,OWP,PA,01/10/1989,02/18/1981,02/19/1981,03/01/1981,05/02/1981,05/14/1981,01/10/1989,,Pre-1989 Well (N/A),Scio,Allentown,B,Richburg,Richburg-Waugh & Porter,False,Vertical,Allegany,9.0,,1700.0,-78.04436,42.08732,-78.04436,42.08732,1697.0,1697.0,0.0,1697.0,,NL,0.0,Richburg,0.0,,,,,01/01/1900 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003159250000,"(42.08732, -78.04436)",1981-05-14,1989-01-10,2798.0,2798,7.6657534246575345
1078,31003116950000,3,11695,0,0,6-78 Kt,K-Arcy Corp.,192,OD,OWP,PA,07/23/1987,,10/01/1975,11/01/1975,12/01/1975,12/10/1975,07/23/1987,,Pre-1989 Well (N/A),Alma,Allentown,I,Richburg,Richburg,False,Vertical,Allegany,9.0,,1600.0,-78.01779,42.02963,-78.01779,42.02963,1323.0,1323.0,0.0,1323.0,2200.0,NL,0.0,,0.0,,,,,01/03/1994 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003116950000,"(42.02963, -78.01779)",1975-12-10,1987-07-23,4243.0,4243,11.624657534246575
1084,31003054620000,3,5462,0,0,Polly 20,Moose Oil Co.,160,OD,OWP,PA,12/12/2016,01/13/1968,01/18/1968,01/20/1968,12/20/1968,12/21/1968,01/03/2017,,Pre-1989 Well (N/A),Bolivar,Allentown,G,Richburg,Richburg,False,Vertical,Allegany,9.0,,1300.0,-78.11301799999998,42.024789,-78.11301799999998,42.024789,1218.0,1218.0,0.0,1218.0,1700.0,NL,0.0,Richburg,0.0,,,,,01/12/2017 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003054620000,"(42.024789, -78.113018)",1968-12-21,2017-01-03,17545.0,17545,48.06849315068493
1125,31003190940000,3,19094,0,0,NYSRA 3-2,Eastern States Exploration Co.,1023,DW,DP,PA,07/05/1984,05/14/1984,06/04/1984,06/15/1984,06/25/1984,06/29/1984,07/05/1984,,Pre-1989 Well (N/A),Almond,Alfred,C,Alfred,Helderberg,False,Vertical,Allegany,9.0,ST,3950.0,-77.77028,42.3455,-77.77028,42.3455,4002.0,4002.0,0.0,4002.0,2050.0,NL,1100.0,Oriskany,1000.0,,,,,03/11/2008 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003190940000,"(42.3455, -77.77028)",1984-06-29,1984-07-05,6.0,6,0.01643835616438356
1271,31003108220000,3,10822,0,0,Nobles 7,Freeman Oil Co.,1260,OD,OWP,PA,09/12/1996,05/03/1974,07/25/1975,08/25/1975,09/02/1975,09/05/1975,09/12/1996,,Pre-1989 Well (N/A),Amity,Wellsville North,D,Scio,Scio,False,Vertical,Allegany,9.0,,887.0,-77.97873,42.20072,-77.97873,42.20072,951.0,951.0,0.0,951.0,2025.0,NL,0.0,Scio,0.0,,,,,10/11/1996 12:00:00 AM +0000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003108220000,"(42.20072, -77.97873)",1975-09-05,1996-09-12,7678.0,7678,21.035616438356165
